data,temp_min,temp_max,vazamento,velocidade,rotacao,falha_hoje,falha_amanha
2007-12-02,11.6,26.3,4.2,41.0,1009.5,1.0,0.0
2007-12-03,16.6,24.2,0.2,50.0,1004.6,0.0,1.0
2007-12-04,13.3,26.5,6.6,50.0,1006.3,1.0,0.0
2007-12-05,14.5,21.8,0.0,43.0,1015.3,0.0,0.0
2007-12-06,16.3,26.8,0.0,39.0,1016.1,0.0,0.0
2007-12-07,17.2,25.8,0.0,41.0,1011.5,0.0,1.0
2007-12-08,16.5,28.2,4.0,39.0,1011.4,1.0,0.0
2007-12-09,15.0,29.4,0.0,43.0,1008.5,0.0,0.0
2007-12-10,14.9,24.8,0.0,35.0,1010.4,0.0,0.0
2007-12-11,11.8,18.5,0.6,35.0,1017.4,0.0,0.0
2007-12-12,11.7,21.5,0.0,41.0,1019.6,0.0,0.0
2007-12-13,9.6,20.3,0.0,39.0,1019.3,0.0,0.0
2007-12-14,8.9,27.1,0.0,35.0,1012.5,0.0,0.0
2007-12-15,10.1,29.9,0.0,41.0,1010.2,0.0,1.0
2007-12-16,15.5,21.1,5.4,31.0,1008.6,1.0,1.0
2007-12-17,10.8,21.7,1.4,48.0,1016.8,1.0,0.0
2007-12-18,7.5,20.9,0.0,39.0,1018.3,0.0,0.0
2007-12-19,12.8,21.0,0.0,22.0,1015.6,0.0,1.0
2007-12-20,12.6,23.1,3.4,30.0,1014.1,1.0,1.0
2007-12-21,14.8,29.5,6.4,41.0,1008.3,1.0,1.0
2007-12-22,19.9,22.0,11.0,76.0,996.8,1.0,1.0
2007-12-23,9.2,20.4,17.4,39.0,1009.1,1.0,0.0
2007-12-24,12.4,24.4,0.0,44.0,1009.7,0.0,1.0
2007-12-25,11.3,21.7,3.4,41.0,1019.1,1.0,0.0
2007-12-26,9.8,26.3,0.0,41.0,1018.0,0.0,0.0
2007-12-27,14.3,26.7,0.0,65.0,1014.3,0.0,1.0
2007-12-28,15.1,28.3,14.4,28.0,1013.4,1.0,0.0
2007-12-29,14.4,31.6,0.0,30.0,1014.2,0.0,0.0
2007-12-30,15.4,35.0,0.0,39.0,1015.0,0.0,0.0
2007-12-31,13.8,33.5,0.0,31.0,1015.6,0.0,0.0
2008-01-01,13.6,34.2,0.0,35.0,1011.6,0.0,0.0
2008-01-02,14.3,35.0,0.0,41.0,1008.7,0.0,0.0
2008-01-03,15.9,23.4,0.0,50.0,1016.3,0.0,0.0
2008-01-04,16.7,25.3,0.0,46.0,1013.0,0.0,0.0
2008-01-05,12.1,27.5,0.0,35.0,1007.4,0.0,0.0
2008-01-06,14.3,34.1,0.0,39.0,1003.3,0.0,0.0
2008-01-07,16.5,33.9,0.0,39.0,1009.5,0.0,0.0
2008-01-08,16.5,30.3,0.0,46.0,1013.4,0.0,0.0
2008-01-09,17.5,29.9,0.0,43.0,1015.9,0.0,0.0
2008-01-10,14.7,34.2,0.0,33.0,1013.3,0.0,0.0
2008-01-11,17.5,35.8,0.0,57.0,1006.5,0.0,0.0
2008-01-12,20.9,35.7,0.0,50.0,1003.0,0.0,1.0
2008-01-13,17.0,33.8,2.0,52.0,1001.8,1.0,0.0
2008-01-14,16.0,22.8,0.0,50.0,1012.3,0.0,0.0
2008-01-15,15.4,33.8,0.0,35.0,1009.0,0.0,0.0
2008-01-16,17.9,33.2,0.0,59.0,1006.1,0.0,1.0
2008-01-17,15.2,25.1,4.8,46.0,1015.0,1.0,0.0
2008-01-18,15.1,20.4,0.0,39.0,1015.8,0.0,1.0
2008-01-19,15.3,19.6,18.8,33.0,1006.0,1.0,1.0
2008-01-20,17.2,24.7,12.2,50.0,1004.0,1.0,0.0
2008-01-21,15.9,19.9,0.8,48.0,1012.1,0.0,0.0
2008-01-22,10.0,22.5,0.0,33.0,1016.8,0.0,0.0
2008-01-23,9.9,24.4,0.0,28.0,1019.2,0.0,0.0
2008-01-24,10.3,27.8,0.0,35.0,1018.1,0.0,0.0
2008-01-25,15.4,25.7,0.0,41.0,1016.9,0.0,0.0
2008-01-26,12.7,28.8,0.0,28.0,1012.4,0.0,0.0
2008-01-27,13.2,31.3,0.0,46.0,1009.5,0.0,0.0
2008-01-28,15.3,33.2,0.0,44.0,1012.0,0.0,0.0
2008-01-29,17.9,33.9,0.0,46.0,1014.6,0.0,0.0
2008-01-30,18.0,34.9,0.0,69.0,1013.7,0.0,1.0
2008-01-31,17.6,27.8,5.2,39.0,1012.8,1.0,1.0
2008-02-01,19.5,22.4,15.6,40.15837531486146,1017.4,1.0,1.0
2008-02-02,19.5,25.6,6.0,40.15837531486146,1016.4,1.0,1.0
2008-02-03,21.6,24.5,6.6,40.15837531486146,1015.6,1.0,1.0
2008-02-04,20.2,22.8,18.8,40.15837531486146,1011.8,1.0,1.0
2008-02-05,16.8,22.8,9.0,30.0,1007.8,1.0,0.0
2008-02-06,20.2,27.2,1.6,40.15837531486146,998.6,1.0,1.0
2008-02-07,18.6,26.3,6.2,40.15837531486146,1000.3,1.0,1.0
2008-02-08,17.2,22.3,27.6,40.15837531486146,1007.4,1.0,1.0
2008-02-09,10.4,20.9,0.0,33.0,1006.8,0.0,0.0
2008-02-10,9.1,23.1,0.0,41.0,1011.4,0.0,0.0
2008-02-11,16.4,23.9,0.0,40.15837531486146,1015.3,0.0,0.0
2008-02-12,14.5,24.2,4.4,48.0,1006.8,1.0,1.0
2008-02-13,12.6,18.2,11.0,30.0,1011.0,1.0,0.0
2008-02-14,8.6,24.2,0.2,33.0,1015.1,0.0,0.0
2008-02-15,10.8,25.2,0.0,35.0,1016.7,0.0,0.0
2008-02-16,11.2,26.1,0.0,39.0,1020.0,0.0,0.0
2008-02-17,19.5,24.8,0.0,40.15837531486146,1023.1,0.0,0.0
2008-02-18,10.8,25.8,0.0,31.0,1017.4,0.0,0.0
2008-02-19,19.0,24.8,0.0,40.15837531486146,1015.4,0.0,0.0
2008-02-20,18.3,26.4,0.0,40.15837531486146,1010.8,0.0,0.0
2008-02-21,20.6,26.8,0.0,40.15837531486146,1009.7,0.0,0.0
2008-02-22,12.7,28.6,6.6,50.0,1002.3,1.0,0.0
2008-02-23,20.5,26.0,0.0,40.15837531486146,1007.0,0.0,0.0
2008-02-24,16.5,28.3,0.0,40.15837531486146,1008.0,0.0,0.0
2008-02-25,11.5,25.9,0.0,44.0,1014.3,0.0,0.0
2008-02-26,13.0,28.2,0.0,44.0,1014.4,0.0,0.0
2008-02-27,11.7,27.6,0.0,48.0,1009.1,0.0,0.0
2008-02-28,14.8,17.3,0.0,48.0,1009.9,0.0,1.0
2008-02-29,7.7,18.4,10.4,48.0,1014.5,1.0,0.0
2008-03-01,4.4,21.8,0.0,35.0,1019.3,0.0,0.0
2008-03-02,7.4,24.4,0.0,35.0,1023.2,0.0,0.0
2008-03-03,8.3,27.3,0.0,35.0,1020.4,0.0,0.0
2008-03-04,15.5,25.4,0.0,40.15837531486146,1018.6,0.0,0.0
2008-03-05,18.7,25.8,0.0,40.15837531486146,1024.2,0.0,0.0
2008-03-06,19.6,26.0,0.0,40.15837531486146,1019.8,0.0,0.0
2008-03-07,10.8,29.2,0.0,50.0,1017.7,0.0,1.0
2008-03-08,9.5,27.4,3.0,24.0,1020.7,1.0,0.0
2008-03-09,12.1,27.8,0.0,41.0,1023.1,0.0,0.0
2008-03-10,19.3,26.3,0.0,40.15837531486146,1022.5,0.0,0.0
2008-03-11,13.9,34.7,0.0,46.0,1019.3,0.0,0.0
2008-03-12,13.3,31.7,0.2,44.0,1017.6,0.0,0.0
2008-03-13,19.2,26.1,0.0,40.15837531486146,1019.0,0.0,0.0
2008-03-14,18.8,26.0,0.0,40.15837531486146,1020.0,0.0,0.0
2008-03-15,19.3,26.1,0.0,40.15837531486146,1020.9,0.0,0.0
2008-03-16,19.7,25.8,0.0,40.15837531486146,1022.6,0.0,0.0
2008-03-17,19.5,25.7,0.0,40.15837531486146,1022.8,0.0,0.0
2008-03-18,19.0,26.7,0.0,40.15837531486146,1020.0,0.0,0.0
2008-03-19,19.9,26.9,0.0,40.15837531486146,1019.4,0.0,0.0
2008-03-20,11.5,29.3,0.0,46.0,1009.4,0.0,0.0
2008-03-21,13.0,14.8,0.0,30.0,1019.3,0.0,0.0
2008-03-22,11.6,19.6,0.0,33.0,1021.8,0.0,0.0
2008-03-23,12.8,24.9,0.0,30.0,1019.3,0.0,0.0
2008-03-24,18.5,24.3,17.0,40.15837531486146,1015.3,1.0,0.0
2008-03-25,13.1,17.4,6.4,43.0,1006.5,1.0,1.0
2008-03-26,12.6,20.2,19.8,46.0,1008.4,1.0,0.0
2008-03-27,15.0,23.6,0.0,40.15837531486146,1013.4,0.0,0.0
2008-03-28,4.4,18.2,0.0,31.0,1015.0,0.0,0.0
2008-03-29,7.1,18.5,0.0,57.0,1011.3,0.0,0.0
2008-03-30,4.2,18.9,0.0,50.0,1009.3,0.0,0.0
2008-03-31,9.6,18.8,0.0,57.0,1013.0,0.0,0.0
2008-04-01,13.7,23.9,0.0,40.15837531486146,1021.5,0.0,0.0
2008-04-02,14.1,28.7,0.0,40.15837531486146,1012.4,0.0,0.0
2008-04-03,16.4,22.2,0.0,40.15837531486146,1010.8,0.0,0.0
2008-04-04,11.2,22.2,0.0,40.15837531486146,1019.2,0.0,0.0
2008-04-05,3.2,21.4,0.0,26.0,1022.3,0.0,0.0
2008-04-06,5.9,21.8,0.0,35.0,1024.1,0.0,0.0
2008-04-07,8.1,20.5,0.0,31.0,1024.0,0.0,0.0
2008-04-08,6.9,18.9,0.0,39.0,1025.4,0.0,0.0
2008-04-09,5.6,19.5,0.0,17.0,1021.8,0.0,0.0
2008-04-10,13.8,22.7,2.2,40.15837531486146,1019.7,1.0,0.0
2008-04-11,7.1,23.4,0.0,39.0,1016.9,0.0,0.0
2008-04-12,14.0,23.8,0.0,40.15837531486146,1016.0,0.0,0.0
2008-04-13,15.1,22.7,0.0,40.15837531486146,1013.4,0.0,1.0
2008-04-14,5.6,18.0,5.2,31.0,1019.6,1.0,0.0
2008-04-15,5.4,20.7,0.0,28.0,1023.9,0.0,0.0
2008-04-16,13.8,20.9,1.4,40.15837531486146,1024.6,1.0,1.0
2008-04-17,5.3,21.0,0.0,26.0,1023.3,0.0,0.0
2008-04-18,7.9,19.7,0.0,48.0,1024.1,0.0,0.0
2008-04-19,15.9,21.4,5.0,40.15837531486146,1026.1,1.0,1.0
2008-04-20,15.2,19.1,2.8,40.15837531486146,1023.7,1.0,1.0
2008-04-21,2.4,20.6,0.0,30.0,1021.0,0.0,0.0
2008-04-22,5.6,18.9,0.0,33.0,1023.5,0.0,0.0
2008-04-23,14.7,17.9,12.6,40.15837531486146,1022.1,1.0,1.0
2008-04-24,14.7,20.0,15.6,40.15837531486146,1018.6,1.0,1.0
2008-04-25,5.0,20.9,0.0,22.0,1014.3,0.0,0.0
2008-04-26,3.8,21.7,0.2,44.0,1006.7,0.0,0.0
2008-04-27,7.9,18.7,0.0,59.0,997.7,0.0,1.0
2008-04-28,11.9,16.8,0.0,40.15837531486146,1008.6,0.0,0.0
2008-04-29,8.6,18.4,0.0,40.15837531486146,1019.8,0.0,0.0
2008-04-30,-1.8,14.8,0.0,28.0,1020.5,0.0,0.0
2008-05-01,11.6,18.2,0.0,40.15837531486146,1016.7,0.0,0.0
2008-05-02,10.8,22.2,0.0,40.15837531486146,1015.3,0.0,0.0
2008-05-03,0.5,17.1,0.0,31.0,1017.4,0.0,0.0
2008-05-04,-0.9,16.7,0.0,30.0,1018.5,0.0,0.0
2008-05-05,0.4,19.0,0.0,39.0,1015.8,0.0,0.0
2008-05-06,7.5,16.8,0.0,41.0,1013.8,0.0,0.0
2008-05-07,8.3,17.6,0.0,43.0,1013.5,0.0,0.0
2008-05-08,11.0,21.8,0.0,40.15837531486146,1017.5,0.0,0.0
2008-05-09,0.1,21.0,0.0,17.0,1020.3,0.0,0.0
2008-05-10,1.5,20.9,0.0,20.0,1020.0,0.0,0.0
2008-05-11,14.0,19.4,0.0,40.15837531486146,1021.2,0.0,0.0
2008-05-12,9.4,19.2,0.0,24.0,1020.3,0.0,0.0
2008-05-13,1.3,19.0,0.0,30.0,1021.4,0.0,0.0
2008-05-14,11.2,20.6,0.0,40.15837531486146,1020.5,0.0,0.0
2008-05-15,12.0,21.4,0.2,40.15837531486146,1017.8,0.0,1.0
2008-05-16,13.8,23.2,1.2,40.15837531486146,1013.0,1.0,0.0
2008-05-17,7.9,12.3,1.0,52.0,1005.9,0.0,0.0
2008-05-18,4.3,14.1,0.8,41.0,1008.3,0.0,0.0
2008-05-19,10.7,20.5,0.0,40.15837531486146,1013.3,0.0,0.0
2008-05-20,0.3,17.0,0.0,31.0,1018.6,0.0,0.0
2008-05-21,11.1,18.9,0.0,40.15837531486146,1022.8,0.0,0.0
2008-05-22,11.9,18.7,0.0,40.15837531486146,1026.2,0.0,0.0
2008-05-23,11.0,18.4,0.0,40.15837531486146,1024.6,0.0,0.0
2008-05-24,11.4,20.1,0.0,40.15837531486146,1022.7,0.0,0.0
2008-05-25,8.8,18.3,0.0,40.15837531486146,1022.2,0.0,0.0
2008-05-26,10.9,21.1,0.4,40.15837531486146,1022.6,0.0,0.0
2008-05-27,4.9,18.1,5.2,22.0,1022.3,1.0,0.0
2008-05-28,1.4,16.8,0.0,20.0,1024.7,0.0,0.0
2008-05-29,11.0,18.6,1.0,40.15837531486146,1029.1,0.0,0.0
2008-05-30,10.9,21.0,0.2,40.15837531486146,1028.7,0.0,0.0
2008-05-31,10.8,20.1,0.0,40.15837531486146,1026.66,0.0,0.0
2008-06-01,0.6,14.0,0.0,17.0,1028.9,0.0,0.0
2008-06-02,14.3,17.6,22.0,40.15837531486146,1024.8,1.0,1.0
2008-06-03,15.2,19.1,4.0,40.15837531486146,1024.1,1.0,1.0
2008-06-04,15.5,18.3,9.2,40.15837531486146,1020.5,1.0,1.0
2008-06-05,15.2,16.9,46.4,40.15837531486146,1018.6,1.0,1.0
2008-06-06,14.7,17.4,12.4,40.15837531486146,1020.3,1.0,0.0
2008-06-07,11.7,18.2,0.0,40.15837531486146,1025.7,0.0,1.0
2008-06-08,12.7,17.7,6.0,40.15837531486146,1029.8,1.0,1.0
2008-06-09,13.0,16.9,3.6,40.15837531486146,1028.0,1.0,1.0
2008-06-10,8.6,13.7,6.2,31.0,1024.3,1.0,1.0
2008-06-11,10.2,15.0,4.8,46.0,1022.1,1.0,0.0
2008-06-12,13.7,22.1,5.4,40.15837531486146,1018.1,1.0,0.0
2008-06-13,8.7,13.0,0.6,54.0,1014.1,0.0,0.0
2008-06-14,1.0,11.8,0.0,48.0,1025.6,0.0,0.0
2008-06-15,2.1,14.7,0.0,43.0,1026.3,0.0,0.0
2008-06-16,13.3,16.8,7.2,40.15837531486146,1023.0,1.0,1.0
2008-06-17,5.4,15.5,0.0,20.0,1025.5,0.0,0.0
2008-06-18,0.4,15.5,0.0,13.0,1023.5,0.0,0.0
2008-06-19,12.8,20.3,0.0,40.15837531486146,1017.4,0.0,1.0
2008-06-20,13.8,17.9,3.6,40.15837531486146,1016.2,1.0,1.0
2008-06-21,11.6,18.5,2.2,40.15837531486146,1018.9,1.0,0.0
2008-06-22,4.2,14.0,0.0,33.0,1025.7,0.0,0.0
2008-06-23,0.9,12.9,0.0,24.0,1022.1,0.0,0.0
2008-06-24,0.8,13.0,0.0,41.0,1024.2,0.0,0.0
2008-06-25,4.3,12.6,0.0,46.0,1021.9,0.0,0.0
2008-06-26,6.3,11.8,0.0,63.0,1020.4,0.0,0.0
2008-06-27,3.5,14.3,0.0,35.0,1025.0,0.0,0.0
2008-06-28,7.9,18.7,0.0,40.15837531486146,1024.7,0.0,0.0
2008-06-29,1.2,16.0,0.0,31.0,1020.9,0.0,0.0
2008-06-30,0.5,15.4,0.0,70.0,1010.2,0.0,1.0
2008-07-01,2.7,18.8,0.0,20.0,1024.5,0.0,0.0
2008-07-02,6.4,20.7,0.0,22.0,1019.0,0.0,0.0
2008-07-03,5.5,12.4,3.0,100.0,1015.1,1.0,0.0
2008-07-04,-3.1,12.0,0.0,35.0,1030.0,0.0,0.0
2008-07-05,-0.1,14.2,0.0,13.0,1028.9,0.0,0.0
2008-07-06,-0.6,14.0,0.0,41.0,1026.3,0.0,0.0
2008-07-07,4.1,15.8,0.0,39.0,1015.2,0.0,1.0
2008-07-08,2.9,9.5,16.8,35.0,1019.6,1.0,0.0
2008-07-09,3.6,14.8,1.2,35.0,1019.6,1.0,1.0
2008-07-10,17.1,30.3,0.0,48.0,1013.2,0.0,0.0
2008-07-11,10.0,16.5,0.0,40.15837531486146,1017.0,0.0,0.0
2008-07-12,7.9,17.3,4.4,19.0,1018.7,1.0,0.0
2008-07-13,12.0,22.8,0.0,20.0,1023.3,0.0,0.0
2008-07-14,7.4,18.9,0.0,54.0,1016.2,0.0,0.0
2008-07-15,5.7,12.4,0.8,26.0,1022.4,0.0,0.0
2008-07-16,6.2,16.4,0.0,43.0,1018.7,0.0,0.0
2008-07-17,7.5,13.6,0.0,59.0,1009.2,0.0,0.0
2008-07-18,17.6,32.3,0.0,41.0,1010.1,0.0,0.0
2008-07-19,2.4,11.6,1.2,35.0,1014.9,1.0,0.0
2008-07-21,3.1,17.1,0.0,28.0,1027.4,0.0,0.0
2008-07-22,6.0,13.8,0.0,20.0,1031.1,0.0,0.0
2008-07-23,-3.5,11.2,0.0,26.0,1031.1,0.0,0.0
2008-07-24,2.7,12.8,0.0,30.0,1028.9,0.0,0.0
2008-07-25,12.5,18.9,22.4,28.0,1014.1,1.0,0.0
2008-07-26,1.5,11.4,0.0,30.0,1014.5,0.0,0.0
2008-07-27,6.3,17.6,0.0,40.15837531486146,1008.6,0.0,1.0
2008-07-28,0.7,14.0,0.0,22.0,1022.4,0.0,0.0
2008-07-29,8.8,20.3,0.0,33.0,1010.0,0.0,0.0
2008-07-30,0.3,11.1,0.0,28.0,1013.5,0.0,0.0
2008-07-31,3.7,21.3,0.0,26.0,1016.1,0.0,0.0
2008-08-01,4.9,13.1,1.0,33.0,991.7,0.0,0.0
2008-08-02,18.1,32.2,0.0,44.0,1011.2,0.0,0.0
2008-08-03,9.4,18.8,0.0,40.15837531486146,1017.7,0.0,0.0
2008-08-04,8.3,22.1,0.0,26.0,1017.2,0.0,0.0
2008-08-05,5.6,15.0,0.2,30.0,1022.8,0.0,0.0
2008-08-06,4.8,14.1,4.0,48.0,1017.6,1.0,0.0
2008-08-07,4.3,17.3,0.0,24.0,1027.6,0.0,0.0
2008-08-08,6.1,13.2,0.0,24.0,1015.6,0.0,0.0
2008-08-09,3.9,13.1,0.4,28.0,1013.3,0.0,0.0
2008-08-10,6.7,15.6,0.0,40.15837531486146,1011.8,0.0,0.0
2008-08-11,4.5,18.7,0.0,37.0,1016.2,0.0,0.0
2008-08-12,4.1,19.4,0.0,24.0,1021.1,0.0,0.0
2008-08-13,5.5,13.0,1.6,46.0,1025.8,1.0,0.0
2008-08-14,7.4,14.1,0.2,56.0,1021.7,0.0,0.0
2008-08-15,19.8,33.8,0.0,41.0,1010.4,0.0,0.0
2008-08-16,10.5,18.0,0.0,40.15837531486146,1010.5,0.0,0.0
2008-08-17,7.8,12.9,4.2,31.0,1025.3,1.0,0.0
2008-08-18,1.2,13.5,1.0,56.0,1018.2,0.0,0.0
2008-08-19,5.3,17.6,0.6,40.15837531486146,1025.4,0.0,0.0
2008-08-20,9.7,15.3,0.0,52.0,1019.2,0.0,0.0
2008-08-21,9.7,9.9,0.0,41.0,1018.7,0.0,1.0
2008-08-22,1.4,12.7,5.2,28.0,1023.4,1.0,0.0
2008-08-23,22.0,31.7,0.0,48.0,1011.3,0.0,0.0
2008-08-24,7.4,14.2,0.2,20.0,1029.8,0.0,0.0
2008-08-25,3.6,15.5,0.0,35.0,1018.4,0.0,0.0
2008-08-26,5.9,17.3,0.0,46.0,1021.1,0.0,0.0
2008-08-27,7.4,15.3,0.0,30.0,1029.2,0.0,0.0
2008-08-28,-0.1,14.7,0.0,30.0,1025.9,0.0,0.0
2008-08-29,-0.2,16.2,0.0,28.0,1022.9,0.0,0.0
2008-08-30,8.6,18.2,0.0,80.0,1009.7,0.0,0.0
2008-08-31,14.5,24.1,0.0,35.0,1017.6,0.0,1.0
2008-09-01,6.9,17.1,0.8,44.0,1021.0,0.0,0.0
2008-09-02,23.5,34.1,0.0,52.0,1010.8,0.0,0.0
2008-09-03,21.8,34.8,0.0,43.0,1009.4,0.0,0.0
2008-09-04,5.4,11.3,0.2,35.0,1031.9,0.0,0.0
2008-09-05,9.8,21.6,1.2,41.0,1018.8,1.0,0.0
2008-09-06,24.0,30.9,0.0,33.0,1008.7,0.0,0.0
2008-09-07,22.4,31.8,0.0,33.0,1007.9,0.0,0.0
2008-09-08,9.7,15.2,0.2,39.0,1025.2,0.0,0.0
2008-09-09,5.8,19.8,0.0,22.0,1023.8,0.0,0.0
2008-09-10,6.0,19.7,0.0,44.0,1017.2,0.0,0.0
2008-09-11,11.8,23.7,0.0,28.0,1015.2,0.0,0.0
2008-09-12,14.0,24.5,0.0,91.0,1000.6,0.0,0.0
2008-09-13,14.8,30.6,0.0,40.15837531486146,1010.4,0.0,1.0
2008-09-14,12.8,20.0,0.0,87.0,989.3,0.0,0.0
2008-09-15,6.2,20.3,1.2,26.0,1019.1,1.0,0.0
2008-09-16,15.4,26.9,0.0,33.0,1013.1,0.0,0.0
2008-09-17,3.3,16.8,0.2,43.0,1018.1,0.0,0.0
2008-09-18,8.9,18.9,0.0,69.0,1011.6,0.0,0.0
2008-09-19,5.1,23.3,0.0,44.0,1011.7,0.0,0.0
2008-09-20,10.7,17.3,1.6,43.0,1016.3,1.0,0.0
2008-09-21,6.5,19.8,0.4,69.0,1010.9,0.0,0.0
2008-09-22,3.2,21.9,0.0,80.0,1006.5,0.0,1.0
2008-09-23,9.5,16.8,6.2,35.0,1026.1,1.0,0.0
2008-09-24,7.6,16.8,0.2,54.0,1021.9,0.0,0.0
2008-09-25,3.2,18.7,0.0,31.0,1026.9,0.0,0.0
2008-09-26,2.5,20.9,0.0,44.0,1020.6,0.0,0.0
2008-09-27,11.0,25.3,0.0,24.0,1019.4,0.0,0.0
2008-09-28,14.4,24.3,0.0,52.0,1009.9,0.0,0.0
2008-09-29,9.1,16.7,1.2,31.0,1022.2,1.0,0.0
2008-09-30,6.2,22.8,0.0,39.0,1015.6,0.0,0.0
2008-10-01,13.0,19.9,0.6,37.0,1011.3,0.0,1.0
2008-10-02,15.0,24.8,0.0,28.0,1012.1,0.0,0.0
2008-10-03,16.8,28.9,0.0,70.0,1011.8,0.0,1.0
2008-10-04,14.4,20.7,7.6,33.0,1013.2,1.0,1.0
2008-10-05,14.6,19.1,3.4,40.15837531486146,1015.3,1.0,1.0
2008-10-06,14.9,22.8,1.8,40.15837531486146,1003.9,1.0,0.0
2008-10-07,9.7,20.6,0.4,40.15837531486146,1014.4,0.0,0.0
2008-10-08,0.5,17.9,0.0,44.0,1017.5,0.0,0.0
2008-10-09,10.5,19.9,0.0,40.15837531486146,1025.7,0.0,0.0
2008-10-10,8.0,26.3,0.0,46.0,1024.2,0.0,0.0
2008-10-11,15.4,19.6,7.6,24.0,1024.1,1.0,1.0
2008-10-12,13.4,31.9,0.6,54.0,1011.0,0.0,0.0
2008-10-13,6.3,22.1,0.0,39.0,1023.9,0.0,0.0
2008-10-14,10.1,17.5,0.0,37.0,1023.3,0.0,0.0
2008-10-15,9.3,17.1,0.2,59.0,1018.3,0.0,0.0
2008-10-16,4.4,21.0,0.0,28.0,1022.3,0.0,0.0
2008-10-17,5.0,24.1,0.0,52.0,1020.7,0.0,0.0
2008-10-18,15.7,25.8,0.0,33.0,1020.7,0.0,0.0
2008-10-19,12.6,23.3,0.0,28.0,1022.1,0.0,0.0
2008-10-20,25.2,37.0,0.0,41.0,1007.5,0.0,0.0
2008-10-21,5.5,14.1,0.0,40.15837531486146,1020.8,0.0,1.0
2008-10-22,16.5,30.1,0.0,41.0,1015.9,0.0,0.0
2008-10-23,6.6,21.2,0.0,30.0,1025.2,0.0,0.0
2008-10-24,10.3,25.3,0.0,46.0,1016.9,0.0,0.0
2008-10-25,14.5,23.8,0.0,31.0,1015.7,0.0,0.0
2008-10-26,7.9,26.1,0.0,43.0,1014.2,0.0,0.0
2008-10-27,27.2,34.1,0.0,41.0,1009.0,0.0,0.0
2008-10-28,17.6,21.9,0.0,40.15837531486146,1019.9,0.0,1.0
2008-10-29,16.1,21.8,6.2,52.0,1013.2,1.0,0.0
2008-10-30,25.0,33.1,0.0,35.0,1010.9,0.0,0.0
2008-10-31,25.0,34.0,0.0,39.0,1009.0,0.0,0.0
2008-11-01,6.6,16.4,0.6,37.0,1023.8,0.0,0.0
2008-11-02,9.1,25.9,0.0,39.0,1012.0,0.0,0.0
2008-11-03,13.2,23.5,16.0,61.0,1008.3,1.0,0.0
2008-11-04,10.7,17.3,2.0,48.0,1018.3,1.0,0.0
2008-11-05,12.4,19.5,9.0,50.0,1010.4,1.0,1.0
2008-11-06,9.1,18.9,8.4,52.0,1014.6,1.0,1.0
2008-11-07,8.0,21.1,0.0,26.0,1009.6,0.0,1.0
2008-11-08,12.8,19.7,7.6,59.0,1007.4,1.0,0.0
2008-11-09,11.2,27.1,0.0,35.0,1011.9,0.0,0.0
2008-11-10,11.3,28.6,0.0,24.0,1020.4,0.0,0.0
2008-11-11,11.2,27.2,0.0,28.0,1018.3,0.0,0.0
2008-11-12,12.7,18.4,0.6,41.0,1018.0,0.0,0.0
